h_mm,min_area_mm2,pockets,leaves,internal,roots,leaf_area_mm2,material_area_mm2,leaf_depth_min,leaf_depth_max,root_depth,build_ms
1,100,11,6,5,1,2842,8760,1.41,7.38,11.80,24.8
1,400,5,3,2,1,3878,8760,2.86,7.38,11.80,24.5
1,1600,3,2,1,1,4334,8760,5.95,7.38,11.80,25.3
2,100,9,5,4,1,2708,8760,2.34,7.38,11.80,25.1
2,400,5,3,2,1,3878,8760,2.86,7.38,11.80,24.1
2,1600,3,2,1,1,4334,8760,5.95,7.38,11.80,25.7
4,100,3,2,1,1,4334,8760,5.95,7.38,11.80,24.6
4,400,3,2,1,1,4334,8760,5.95,7.38,11.80,25.5
4,1600,3,2,1,1,4334,8760,5.95,7.38,11.80,24.7
8,100,1,1,0,1,8760,8760,inf,-inf,11.80,24.9
8,400,1,1,0,1,8760,8760,inf,-inf,11.80,25.0
8,1600,1,1,0,1,8760,8760,inf,-inf,11.80,25.4
2,400,5,3,2,1,3857,8784,2.86,7.34,11.83,137.5
