# trend_g1.py output (DERIVED; every slope and ratio is computed, no vendor prints it)

Inputs: 389 LUT rows, 96 verified G1 rows; 363 printed wood points (grade a/b, not fallback) before the per-diameter dedupe.
Series with >= 2 diameters: 63 (LUT only 42, G1 only 21).

## A. Chipload against diameter, every series with >= 2 sizes (mm/tooth)
Frame = the diameter the series keys on. 'copy of' = the same printed cell as the named
material (a shared chart row); it is not a second witness.

### tapered_ball_nose: 12 series
| source | subfamily | material | fl | role | grade/kind | frame | d mm | min | max | mid |
|---|---|---|---|---|---|---|---|---|---|---|
| amana_zrn_3d_profiling_v8 | zrn_2d3d_carving_tapered | hardwood (copy of mdf) | 2 | finish | b/derived | tip | 1 | 0.01905 | 0.0508 | 0.0349 |
| | | | | | | | 1.5875 | 0.0762 | 0.127 | 0.1016 |
| | | | | | | | 6.35 | 0.1778 | 0.2286 | 0.2032 |
| amana_zrn_3d_profiling_v8 | zrn_2d3d_carving_tapered | hardwood (copy of mdf) | 3 | finish | b/derived | tip | 0.7937 | 0.01905 | 0.0508 | 0.0349 |
| | | | | | | | 3.175 | 0.0381 | 0.0635 | 0.0508 |
| | | | | | | | 4.7625 | 0.0635 | 0.1016 | 0.0825 |
| amana_zrn_3d_profiling_v8 | zrn_2d3d_carving_tapered | hardwood (copy of mdf) | 4 | finish | b/derived | tip | 1.5 | 0.0127 | 0.01651 | 0.0146 |
| | | | | | | | 1.5875 | 0.0127 | 0.01651 | 0.0146 |
| | | | | | | | 3.175 | 0.0127 | 0.01651 | 0.0146 |
| amana_zrn_3d_profiling_v8 | zrn_2d3d_carving_tapered | mdf | 2 | finish | a+b/exact | tip | 1 | 0.01905 | 0.0508 | 0.0349 |
| | | | | | | | 1.5875 | 0.0762 | 0.127 | 0.1016 |
| | | | | | | | 6.35 | 0.1778 | 0.2286 | 0.2032 |
| amana_zrn_3d_profiling_v8 | zrn_2d3d_carving_tapered | mdf | 3 | finish | a/exact | tip | 0.7937 | 0.01905 | 0.0508 | 0.0349 |
| | | | | | | | 3.175 | 0.0381 | 0.0635 | 0.0508 |
| | | | | | | | 4.7625 | 0.0635 | 0.1016 | 0.0825 |
| amana_zrn_3d_profiling_v8 | zrn_2d3d_carving_tapered | mdf | 4 | finish | a/exact | tip | 1.5 | 0.0127 | 0.01651 | 0.0146 |
| | | | | | | | 1.5875 | 0.0127 | 0.01651 | 0.0146 |
| | | | | | | | 3.175 | 0.0127 | 0.01651 | 0.0146 |
| amana_zrn_3d_profiling_v8 | zrn_2d3d_carving_tapered | softwood (copy of mdf) | 2 | finish | b/derived | tip | 1 | 0.01905 | 0.0508 | 0.0349 |
| | | | | | | | 1.5875 | 0.0762 | 0.127 | 0.1016 |
| | | | | | | | 6.35 | 0.1778 | 0.2286 | 0.2032 |
| amana_zrn_3d_profiling_v8 | zrn_2d3d_carving_tapered | softwood (copy of mdf) | 3 | finish | b/derived | tip | 0.7937 | 0.01905 | 0.0508 | 0.0349 |
| | | | | | | | 3.175 | 0.0381 | 0.0635 | 0.0508 |
| | | | | | | | 4.7625 | 0.0635 | 0.1016 | 0.0825 |
| amana_zrn_3d_profiling_v8 | zrn_2d3d_carving_tapered | softwood (copy of mdf) | 4 | finish | b/derived | tip | 1.5 | 0.0127 | 0.01651 | 0.0146 |
| | | | | | | | 1.5875 | 0.0127 | 0.01651 | 0.0146 |
| | | | | | | | 3.175 | 0.0127 | 0.01651 | 0.0146 |
| spetool_2d3d_tapered_router_bit_c~ | spetool_2d3d_tapered | hardwood (copy of mdf) | 2 | finish | b/derived | tip | 0.5 | - | 0.01778 | 0.0178 |
| | | | | | | | 0.7937 | - | 0.02032 | 0.0203 |
| | | | | | | | 1 | - | 0.0254 | 0.0254 |
| | | | | | | | 1.5 | - | 0.0381 | 0.0381 |
| | | | | | | | 1.5875 | - | 0.0381 | 0.0381 |
| | | | | | | | 2 | - | 0.0762 | 0.0762 |
| | | | | | | | 3 | - | 0.1016 | 0.1016 |
| | | | | | | | 3.175 | - | 0.1016 | 0.1016 |
| | | | | | | | 4 | - | 0.127 | 0.1270 |
