tool_type,diameter_mm,flutes,operation,material,status,entry_class,registry_tools,entry_style_default,ramp_angle_deg,helix_radius_mm,helix_pitch_mm,plunge_mm_min_csv,feed_mm_min_csv,rpm_csv,plunge_rule,ramp_feed_today_derived,dressup_entry_feed_derived,ramp_feed_approved_derived,ramp_feed_approved_basis,suggest_rewrote_style
EndMill,3.1750,2,Face,softwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,529.0000,3657.0000,18000.0000,material base,794,264,3657,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Face,hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,371.0000,3657.0000,18000.0000,material base,558,186,3657,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Face,mdf,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,373.0000,3999.0000,15748.0000,material base,561,186,3999,G6 axial chip 0.0635 mm,
EndMill,3.1750,2,Face,plywood_hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,360.0000,3657.0000,18000.0000,material base,541,180,3657,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Pocket,softwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,529.0000,3657.0000,18000.0000,material base,794,264,3657,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Pocket,hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,371.0000,3657.0000,18000.0000,material base,558,186,3657,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Pocket,mdf,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,373.0000,3999.0000,15748.0000,material base,561,186,3999,G6 axial chip 0.0635 mm,
EndMill,3.1750,2,Pocket,plywood_hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,360.0000,3657.0000,18000.0000,material base,541,180,3657,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Profile,softwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,529.0000,4000.0000,8000.0000,material base,794,264,4000,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Profile,hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,371.0000,954.0000,21000.0000,material base,477,186,954,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Profile,mdf,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,373.0000,4000.0000,8000.0000,material base,561,186,4000,G6 axial chip 0.0635 mm,
EndMill,3.1750,2,Profile,plywood_hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,360.0000,4000.0000,8000.0000,material base,541,180,4000,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Adaptive,softwood,ok,"E2 2D adaptive, dressup Helix on",any,helix (dressup),,2.00,1.0,529.0000,3657.6000,18000.0000,material base,794,264,3658,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Adaptive,hardwood,ok,"E2 2D adaptive, dressup Helix on",any,helix (dressup),,2.00,1.0,371.0000,3657.6000,18000.0000,material base,558,186,3658,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Adaptive,mdf,ok,"E2 2D adaptive, dressup Helix on",any,helix (dressup),,2.00,1.0,373.0000,4000.0000,17997.0000,material base,561,186,4000,G6 axial chip 0.0635 mm,
EndMill,3.1750,2,Adaptive,plywood_hardwood,ok,"E2 2D adaptive, dressup Helix on",any,helix (dressup),,2.00,1.0,360.0000,3657.6000,18000.0000,material base,541,180,3658,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,VCarve,softwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,3.1750,2,VCarve,hardwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,3.1750,2,VCarve,mdf,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,3.1750,2,VCarve,plywood_hardwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,3.1750,2,Rest,softwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,529.0000,3657.0000,18000.0000,material base,794,264,3657,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Rest,hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,371.0000,3657.0000,18000.0000,material base,558,186,3657,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Rest,mdf,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,373.0000,3999.0000,15748.0000,material base,561,186,3999,G6 axial chip 0.0635 mm,
EndMill,3.1750,2,Rest,plywood_hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,360.0000,3657.0000,18000.0000,material base,541,180,3657,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Inlay,softwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,3.1750,2,Inlay,hardwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,3.1750,2,Inlay,mdf,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,3.1750,2,Inlay,plywood_hardwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,3.1750,2,Zigzag,softwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,529.0000,3657.0000,18000.0000,material base,794,264,3657,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Zigzag,hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,371.0000,3657.0000,18000.0000,material base,558,186,3657,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Zigzag,mdf,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,373.0000,3999.0000,15748.0000,material base,561,186,3999,G6 axial chip 0.0635 mm,
EndMill,3.1750,2,Zigzag,plywood_hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,360.0000,3657.0000,18000.0000,material base,541,180,3657,G6 axial chip 0.0508 mm,
EndMill,3.1750,2,Trace,softwood,ok,E5 no entry (forced none),any,none,,,,529.0000,1947.0000,20051.0000,material base,794,,,,
EndMill,3.1750,2,Trace,hardwood,ok,E5 no entry (forced none),any,none,,,,371.0000,1248.0000,20051.0000,material base,558,,,,
EndMill,3.1750,2,Trace,mdf,ok,E5 no entry (forced none),any,none,,,,373.0000,1219.0000,17043.0000,material base,561,,,,
EndMill,3.1750,2,Trace,plywood_hardwood,ok,E5 no entry (forced none),any,none,,,,360.0000,1235.0000,18046.0000,material base,541,,,,
EndMill,3.1750,2,Drill,softwood,ok,E7 drill (no entry; plunge = drill feed),any,none,,,,1422.0000,1422.0000,14000.0000,drill feed (G6 claim),711,,,,
EndMill,3.1750,2,Drill,hardwood,ok,E7 drill (no entry; plunge = drill feed),any,none,,,,1422.0000,1422.0000,14000.0000,drill feed (G6 claim),558,,,,
EndMill,3.1750,2,Drill,mdf,ok,E7 drill (no entry; plunge = drill feed),any,none,,,,1778.0000,1778.0000,14000.0000,drill feed (G6 claim),561,,,,
EndMill,3.1750,2,Drill,plywood_hardwood,ok,E7 drill (no entry; plunge = drill feed),any,none,,,,1422.0000,1422.0000,14000.0000,drill feed (G6 claim),541,,,,
EndMill,3.1750,2,Chamfer,softwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,3.1750,2,Chamfer,hardwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,3.1750,2,Chamfer,mdf,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,3.1750,2,Chamfer,plywood_hardwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,3.1750,2,DropCutter,softwood,ok,E6 no entry (strip all),any,none,,,,529.0000,3657.0000,18000.0000,material base,794,,,,
EndMill,3.1750,2,DropCutter,hardwood,ok,E6 no entry (strip all),any,none,,,,371.0000,3657.0000,18000.0000,material base,558,,,,
EndMill,3.1750,2,DropCutter,mdf,ok,E6 no entry (strip all),any,none,,,,373.0000,3999.0000,15748.0000,material base,561,,,,
EndMill,3.1750,2,DropCutter,plywood_hardwood,ok,E6 no entry (strip all),any,none,,,,360.0000,3657.0000,18000.0000,material base,541,,,,
