tool_type,diameter_mm,operation,material,status,lut_observation_id,group,detail
EndMill,3.1750,Face,hardwood,ok,amana-flat-hardwood-pocket-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,Face,mdf,ok,amana-flat-mdf-pocket-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,Face,plywood_hardwood,ok,amana-flat-plywood-hardwood-pocket-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,Pocket,hardwood,ok,amana-flat-hardwood-pocket-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,Pocket,mdf,ok,amana-flat-mdf-pocket-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,Pocket,plywood_hardwood,ok,amana-flat-plywood-hardwood-pocket-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,Profile,mdf,ok,onsrud-mdf-60-100mw-1_8-finish,G2h,extrapolated d_ratio=1.00 h_ratio=0.64 row_mat=mdf
EndMill,3.1750,Adaptive,softwood,ok,amana-flat-softwood-adaptive-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,Adaptive,hardwood,ok,amana-flat-hardwood-adaptive-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,Adaptive,mdf,ok,amana-flat-mdf-adaptive-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,Adaptive,plywood_hardwood,ok,amana-flat-plywood-hardwood-adaptive-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,Rest,hardwood,ok,amana-flat-hardwood-pocket-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,Rest,mdf,ok,amana-flat-mdf-pocket-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,Rest,plywood_hardwood,ok,amana-flat-plywood-hardwood-pocket-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,Zigzag,hardwood,ok,amana-flat-hardwood-pocket-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,Zigzag,mdf,ok,amana-flat-mdf-pocket-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,Zigzag,plywood_hardwood,ok,amana-flat-plywood-hardwood-pocket-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,Drill,softwood,refused,,G6,drill
EndMill,3.1750,Drill,hardwood,refused,,G6,drill
EndMill,3.1750,Drill,mdf,refused,,G6,drill
EndMill,3.1750,Drill,plywood_hardwood,refused,,G6,drill
EndMill,3.1750,DropCutter,hardwood,ok,amana-flat-hardwood-pocket-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,DropCutter,mdf,ok,amana-flat-mdf-pocket-3175-2f-spektra,G4,bandless printed row
EndMill,3.1750,DropCutter,plywood_hardwood,ok,amana-flat-plywood-hardwood-pocket-3175-2f-spektra,G4,bandless printed row
