# t_epoch,vmrss_kb,vmsize_kb,vmswap_kb,mem_available_kb,threads
1786142365.538,0,0,0,25115656,?
1786142366.039,0,0,0,25003704,?
1786142366.541,113564,3999780,0,24996192,48
1786142367.042,114028,4001480,0,24998620,47
# MARK 1786142367.087 call:load_project:{"path": "/tmp/claude-1001/-home-ricky-personal-repos-rs-cam/0934e428-3a02-4818-b682-76c62c03a29a/scratchpad/b1/wanaka_copy.toml"}
1786142367.543,115388,4001492,0,25000376,48
1786142368.044,190452,4074392,0,24933576,48
# MARK 1786142368.056 call:list_toolpaths:{}
1786142368.545,166872,4053164,0,24931272,48
# MARK 1786142368.811 generate_all:begin
# MARK 1786142368.811 call:generate_all:{"fixpoint": true, "simulation_resolution_mm": 0.1, "timeout_s": 2700}
1786142369.046,289624,5638872,0,24827004,72
1786142369.547,315048,5638872,0,24807420,72
1786142370.048,318332,5638872,0,24764712,72
1786142370.549,318340,5638872,0,24734548,72
1786142371.050,318384,5638872,0,24734548,72
1786142371.551,318432,5638872,0,24735176,72
1786142372.052,318588,5638872,0,24735484,72
1786142372.553,318720,5638872,0,24734476,72
1786142373.054,318752,5638872,0,24736416,72
1786142373.556,318780,5638872,0,24738556,72
1786142374.056,319008,5638952,0,24742336,72
1786142374.557,324040,5638952,0,24756928,72
1786142375.058,324276,5638952,0,24761144,72
1786142375.558,324368,5638952,0,24732960,72
1786142376.059,532760,5987752,0,24517392,72
1786142376.560,788324,6134620,0,24133664,72
1786142377.060,788324,6134620,0,24138172,72
1786142377.561,793784,6134620,0,24134584,72
1786142378.061,802544,6134620,0,24130556,72
1786142378.562,1629664,7140916,0,23047528,72
1786142379.063,1874892,7386876,0,22803684,71
1786142379.564,1874892,7386876,0,22811984,71
1786142380.064,2104412,7624428,0,22799568,71
1786142380.564,2060732,7624428,0,22790712,71
1786142381.065,2186644,7673716,0,22756484,71
1786142381.566,2186752,7673716,0,22762104,71
1786142382.066,2186856,7673716,0,22766548,71
1786142382.567,2186856,7673716,0,22779444,71
1786142383.068,2186856,7673716,0,22779444,71
1786142383.571,2186856,7673716,0,22773176,71
1786142384.074,2186924,7673716,0,22792260,71
1786142384.575,2186924,7673716,0,22814772,71
1786142385.075,2186924,7673716,0,22800784,71
1786142385.577,2186924,7673716,0,22812540,71
1786142386.078,2186924,7673716,0,22812136,71
1786142386.578,2186924,7673716,0,22832276,71
1786142387.079,2186988,7673716,0,22838460,71
1786142387.579,2186988,7673716,0,22849368,71
1786142388.080,2186988,7673716,0,22850984,71
1786142388.580,2186988,7673716,0,22868780,71
1786142389.084,2186988,7673716,0,22868780,71
1786142389.585,2186988,7673716,0,22880736,71
1786142390.086,2187052,7673716,0,22872264,71
1786142390.586,2187052,7673716,0,22863048,71
1786142391.088,2187052,7673716,0,22865472,71
1786142391.588,2187052,7673716,0,22882556,71
1786142392.091,2187052,7673716,0,22882556,71
1786142392.592,2187052,7673716,0,22891344,71
1786142393.092,2187116,7673716,0,22888388,71
1786142393.595,2187116,7673716,0,22897536,71
1786142394.096,2187116,7673716,0,22897940,71
1786142394.596,2187116,7673716,0,22901196,71
1786142395.097,2187116,7673716,0,22872156,71
1786142395.597,2187116,7673716,0,22861836,71
1786142396.098,2187116,7673716,0,22866684,71
