case_id,op_kind,status,chipload_kind,chipload_observed_mm_tooth,deflection_kind,deflection_peak_mm,power_kind,power_peak_kw,rapid_collision_count,avg_engagement,peak_axial_doc_mm,drill_chip_welding_kind,drill_chip_welding_observed,drill_peck_kind,drill_plunge_kind,notes
AS001,pocket,ok,exceeds_low,0.005853,within,0.0706,within,0.0033,0,0.2560,2.000,,,,,
AS002,adaptive,ok,exceeds_low,0.008976,within,0.0547,within,0.0072,0,0.3280,3.000,,,,,
AS003,profile,ok,exceeds_low,0.019659,within,0.0788,within,0.0074,0,0.6332,2.000,,,,,
AS004,face,ok,exceeds_low,0.012594,within,0.0397,within,0.0048,0,0.0956,0.438,,,,,
AS005,zigzag,ok,exceeds_low,0.012594,within,0.1764,within,0.0221,0,0.2064,2.000,,,,,
AS006,rest,generation_failed,,,,,,,,,,,,,,"Operation failed: Previous tool not set for rest machining; param_warnings=prev_tool_radius=3: Invalid parameter: unknown parameter 'prev_tool_radius' for Rest Machining operation. Valid parameters: prev_tool_id, stepover, depth, depth_per_pass, feed_rate, plunge_rate, angle, spindle_rpm"
AS007,trace,ok,unmodeled_novendordata,,within,0.0074,within,0.0001,6,0.4070,0.167,,,,,
AS008,v_carve,ok,unmodeled_novendordata,,within,0.0000,within,0.0000,0,0.0002,0.130,,,,,
AS009,chamfer,ok,exceeds_low,0.002297,within,0.0005,within,0.0000,1,0.1541,0.541,,,,,"param_warnings=width=1: Invalid parameter: unknown parameter 'width' for Chamfer operation. Valid parameters: chamfer_width, tip_offset, feed_rate, plunge_rate, spindle_rpm"
AS010,inlay,ok,exceeds_low,0.002042,within,0.0008,within,0.0001,104,0.0027,0.542,,,,,
AS011,drill,ok,"unmodeled_notapplicableforop(""drill cycle — no continuous engagement"")",,"unmodeled_notapplicableforop(""drill cycle — no continuous engagement"")",,"unmodeled_notapplicableforop(""drill cycle — no continuous engagement"")",,0,,,within,4.000,within,within,
AS012,alignment_pin_drill,generation_failed,,,,,,,,,,,,,,"Operation failed: Missing geometry: No alignment pin positions defined; param_warnings=depth=10: Invalid parameter: unknown parameter 'depth' for Pin Drill operation. Valid parameters: holes, spoilboard_penetration, cycle, peck_depth, feed_rate, retract_z, spindle_rpm"
AS013,adaptive3d,ok,exceeds_low,0.018340,within,0.1181,within,0.0171,0,0.0767,14.766,,,,,
AS014,drop_cutter,ok,exceeds_low,0.001428,exceeds,0.4426,within,0.0284,0,0.2528,42.500,,,,,
AS015,scallop,ok,exceeds_low,0.002008,within,0.1204,within,0.0019,0,0.0640,3.488,,,,,
AS016,waterline,generation_empty,,,,,,,,,,,,,,toolpath has 0 moves; param_warnings=
AS017,horizontal_finish,ok,unmodeled_novendordata,,exceeds,1.2855,within,0.1712,100,0.0995,16.504,,,,,
AS018,project_curve,generation_failed,,,,,,,,,,,,,,Operation failed: Missing geometry: Operation requires 2D geometry; param_warnings=
