capability_id,capability_name,Operations Queue Panel,Add Toolpath Menu,Tool Library (collapsible),Toolpath Card Context Menu,Toolpath Properties Header,Toolpath Tab Bar,Params Tab,Feeds Tab,Feeds & Speeds Modal (launcher),Vendor LUT Viewer,Engagement Diagram,Heights Tab,Diagnostics Ribbon,Dressups Tab,toolpath-tab-feed-params,feeds-card,feeds-modal-toolpath,feeds-modal-nomogram-explore,optimize-modal,feeds-modal-project,toolpath-tab-suggest-all,feeds-tab,vendor-lut-viewer,sim-diagnostics-optimize-entry,optimize-project,setup-list-panel,setup-properties-panel,alignment-pins-section,fixture-properties-panel,keepout-properties-panel,stock-properties-panel,material-picker-menu,tool-properties-panel,tool-library-modal,post-processor-panel,Setup & run,Verification staleness card,Viewport overlay toolbar,Inspector › Project overview,Export Readiness modal,Verification empty-state card,Operation list,Inspector › Now-playing strip,Span ribbon,Semantic timeline band,Inspector › View,Inspector › Selection details,Inspector › Generation Metrics,Verdict HUD,Inspector › Focused hotspot card,Inspector › Top hotspots list,Inspector › Selected span section,Signal spine,Inspector › Focused issue card,Transport & scrubber,Boundary timeline,menu-bar,project-tree,menu-file-direct-export,workspace-bar,shortcuts-window,status-bar,export-wizard,automation-snapshot
generate-all,Generate all toolpaths,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,,,,,,,
add-toolpath,Add toolpath,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,
add-tool,Add tool,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,
select-tool-from-library,Select tool in library,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
select-toolpath,Select toolpath,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,
reorder-toolpath,Reorder toolpath,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
move-toolpath-to-setup,Move toolpath to setup,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
move-toolpath-up,Move toolpath up,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,
move-toolpath-down,Move toolpath down,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,
generate-toolpath,Generate toolpath,A,,,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
